선박청코드항명,연도,월,분기,외내항구분,수출입구분,선종명,시설명,부두구분명,톤코드명,국가,톤코드,국내선박수,국내선박톤수,외국선박수,외국선박톤수,전체선박수,전체선박톤수
북항,2024,03,1,외항,입항,자동차 운반선,남외항 박지,일반부두,"3,000-5,000톤미만",외국선,5,0,0,1,3741,1,3741
감천,2024,03,1,외항,입항,산물선,한진해운부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,3,105970,3,105970
북항,2024,03,1,외항,입항,풀 컨테이너선,자성대 부두,컨테이너부두,"15,000-20,000톤미만",아국선,9,7,118291,0,0,7,118291
신항,2024,03,1,내항,입항,석유정제품 운반선,신항 U 정박지,일반부두,"1,000 - 3,000미만",아국선,4,5,8730,0,0,5,8730
신항,2024,03,1,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,12,849148,12,849148
신항,2024,03,1,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,10,400441,10,400441
신항,2024,04,2,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"30,000-50,000톤미만",아국선,12,1,40839,0,0,1,40839
감천,2024,05,2,외항,입항,기타선,기타,일반부두,100 -  500톤미만,아국선,2,1,281,0,0,1,281
감천,2024,03,1,외항,입항,일반화물선,제일제당부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,1,14717,1,14717
북항,2024,03,1,외항,입항,여객선,신국제여객터미널,일반부두,"50,000-60,000톤미만",외국선,13,0,0,1,55254,1,55254
신항,2024,03,1,외항,입항,풀 컨테이너선,신항2부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,1,24488,1,24488
북항,2024,03,1,내항,입항,산물선,O 박지,일반부두,"1,000 - 3,000미만",아국선,4,4,7843,0,0,4,7843
북항,2024,03,1,외항,입항,일반화물선,안벽,일반부두,"3,000-5,000톤미만",외국선,5,0,0,2,9239,2,9239
감천,2024,03,1,외항,입항,케미칼 운반선,모든부두,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,8263,1,8263
감천,2024,03,1,내항,입항,산물선,동양해운부두,일반부두,"5,000-7,000톤미만",아국선,6,1,5459,0,0,1,5459
북항,2024,05,2,외항,입항,케미칼 운반선,기타,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2579,1,2579
북항,2024,03,1,외항,입항,석유정제품 운반선,기타,일반부두,"1,000 - 3,000미만",아국선,4,1,1056,0,0,1,1056
북항,2024,03,1,외항,입항,어선,남외항 박지,일반부두,100 -  500톤미만,아국선,2,1,394,0,0,1,394
감천,2024,03,1,내항,입항,기타선,한진해운부두,컨테이너부두,100 -  500톤미만,아국선,2,2,5219,0,0,2,5219
감천,2024,03,1,외항,입항,기타선,감천항조선소,일반부두,100 -  500톤미만,외국선,2,0,0,1,499,1,499
북항,2024,05,2,외항,입항,일반화물선,기타,일반부두,100 -  500톤미만,아국선,2,1,1154,0,0,1,1154
북항,2024,07,3,외항,입항,산물선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,4,33062,4,33062
북항,2024,07,3,외항,입항,케미칼 운반선,안벽,일반부두,"5,000-7,000톤미만",외국선,6,0,0,1,5677,1,5677
감천,2024,06,2,내항,입항,산물선,동양해운부두,일반부두,"7,000-10,000톤미만",아국선,7,1,7189,0,0,1,7189
감천,2024,07,3,내항,입항,석유정제품 운반선,도양물류부두,일반부두,"500 - 1,000톤미만",아국선,3,1,575,0,0,1,575
북항,2024,07,3,내항,입항,석유정제품 운반선,O 박지,일반부두,"500 - 1,000톤미만",아국선,3,1,791,0,0,1,791
북항,2024,07,3,외항,입항,풀 컨테이너선,7 부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,1,12559,1,12559
북항,2024,08,3,외항,입항,일반화물선,감만부두,컨테이너부두,"5,000-7,000톤미만",외국선,6,0,0,3,17734,3,17734
감천,2024,08,3,내항,입항,기타선,동성실업부두,일반부두,100 -  500톤미만,아국선,2,7,3706,0,0,7,3706
북항,2024,07,3,외항,입항,일반화물선,기타,일반부두,"500 - 1,000톤미만",아국선,3,1,796,0,0,1,796
신항,2024,08,3,외항,입항,풀 컨테이너선,신항6부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,5,92801,5,92801
신항,2024,08,3,외항,입항,풀 컨테이너선,신항1부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,8,715331,8,715331
신항,2024,06,2,내항,입항,기타선,신항1부두,컨테이너부두,100 -  500톤미만,아국선,2,1,200,0,0,1,200
신항,2024,03,1,외항,입항,풀 컨테이너선,신항6부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,12,508127,12,508127
감천,2024,03,1,외항,입항,일반화물선,한진해운부두,컨테이너부두,"1,000 - 3,000미만",외국선,4,0,0,5,11495,5,11495
신항,2024,03,1,외항,입항,기타선,신항다목적부두,컨테이너부두,"5,000-7,000톤미만",외국선,6,0,0,1,5758,1,5758
북항,2024,03,1,내항,입항,원유 운반선,물량장,일반부두,100톤미만,아국선,1,1,67,0,0,1,67
감천,2024,03,1,외항,입항,어선,기타,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1820,1,1820
신항,2024,03,1,외항,입항,일반화물선,신항 U 정박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,2,3470,2,3470
감천,2024,03,1,내항,입항,산물선,동양해운부두,일반부두,"1,000 - 3,000미만",아국선,4,1,1822,0,0,1,1822
감천,2024,03,1,외항,입항,일반화물선,제일제당부두,일반부두,"3,000-5,000톤미만",외국선,5,0,0,2,8937,2,8937
감천,2024,05,2,외항,입항,냉동.냉장선,동성실업부두,일반부두,100 -  500톤미만,아국선,2,1,424,0,0,1,424
북항,2024,05,2,외항,입항,쎄미 컨테이너선,7 부두,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,9924,1,9924
감천,2024,03,1,내항,입항,시멘트 운반선,감천항조선소,일반부두,"3,000-5,000톤미만",아국선,5,1,4771,0,0,1,4771
북항,2024,03,1,외항,입항,풀 컨테이너선,감만부두,컨테이너부두,"5,000-7,000톤미만",외국선,6,0,0,5,32273,5,32273
감천,2024,03,1,외항,입항,석유정제품 운반선,모든부두,일반부두,"7,000-10,000톤미만",아국선,7,1,7699,0,0,1,7699
감천,2024,04,2,외항,입항,냉동.냉장선,도양물류부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,1,12383,1,12383
신항,2024,03,1,외항,입항,풀 컨테이너선,신항5부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,6,427528,6,427528
감천,2024,03,1,외항,입항,냉동.냉장선,동성실업부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,3,6781,3,6781
북항,2024,03,1,내항,입항,석유정제품 운반선,안벽,일반부두,"1,000 - 3,000미만",아국선,4,1,1200,0,0,1,1200
감천,2024,03,1,외항,입항,산물선,한진해운부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,2,48354,2,48354
감천,2024,03,1,외항,입항,어선,동양해운부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1049,1,1049
감천,2024,03,1,외항,입항,일반화물선,도양물류부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,2,25489,2,25489
북항,2024,02,1,내항,입항,기타선,우암 부두,컨테이너부두,100 -  500톤미만,아국선,2,1,130,0,0,1,130
감천,2024,03,1,외항,입항,냉동.냉장선,도양물류부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1727,1,1727
북항,2024,03,1,내항,입항,기타선,O 박지,일반부두,100 -  500톤미만,아국선,2,1,2777,0,0,1,2777
감천,2024,03,1,외항,입항,석유정제품 운반선,기타,일반부두,"1,000 - 3,000미만",아국선,4,1,1056,0,0,1,1056
신항,2024,03,1,내항,입항,석유정제품 운반선,신항 U 정박지,일반부두,"500 - 1,000톤미만",아국선,3,6,4622,0,0,6,4622
북항,2024,03,1,외항,입항,일반화물선,7 부두,일반부두,"1,000 - 3,000미만",아국선,4,4,8024,0,0,4,8024
신항,2024,03,1,외항,입항,풀 컨테이너선,신항 W 정박지,일반부두,"60,000-75,000톤미만",외국선,14,0,0,1,73172,1,73172
북항,2024,03,1,내항,입항,석유정제품 운반선,신선대 부두,컨테이너부두,100 -  500톤미만,아국선,2,2,596,0,0,2,596
북항,2024,03,1,외항,입항,풀 컨테이너선,신선대 부두,컨테이너부두,"10,000-15,000톤미만",외국선,8,0,0,1,13596,1,13596
감천,2024,03,1,내항,입항,석유정제품 운반선,모든부두,일반부두,"1,000 - 3,000미만",아국선,4,4,6320,0,0,4,6320
북항,2024,03,1,내항,입항,기타선,기타,일반부두,"3,000-5,000톤미만",아국선,5,2,7994,0,0,2,7994
북항,2024,05,2,내항,입항,석유정제품 운반선,E 박지,일반부두,"5,000-7,000톤미만",아국선,6,2,11540,0,0,2,11540
북항,2024,02,1,내항,입항,기타선,8 부두,일반부두,100 -  500톤미만,아국선,2,1,130,0,0,1,130
감천,2024,03,1,외항,입항,자동차 운반선,제일제당부두,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,7580,1,7580
북항,2024,03,1,외항,입항,기타선,기타,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2453,1,2453
감천,2024,03,1,외항,입항,일반화물선,감천중앙부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,1,10360,1,10360
북항,2024,03,1,외항,입항,풀 컨테이너선,7 부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,3,35320,3,35320
감천,2024,05,2,외항,입항,냉동.냉장선,한일물류부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,1,10804,1,10804
감천,2024,02,1,외항,입항,냉동.냉장선,기타,일반부두,"5,000-7,000톤미만",외국선,6,0,0,1,6689,1,6689
감천,2024,03,1,외항,입항,냉동.냉장선,기타,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,8609,1,8609
감천,2024,02,1,외항,입항,일반화물선,도양물류부두,일반부두,"1,000 - 3,000미만",아국선,4,1,2049,0,0,1,2049
북항,2024,03,1,내항,입항,기타선,안벽,일반부두,"1,000 - 3,000미만",아국선,4,1,2656,0,0,1,2656
감천,2024,03,1,외항,입항,쎄미 컨테이너선,감천중앙부두,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,8339,1,8339
북항,2024,03,1,외항,입항,석유정제품 운반선,동명 부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1395,1,1395
북항,2024,03,1,외항,입항,냉동.냉장선,남외항 박지,일반부두,"10,000-15,000톤미만",외국선,8,0,0,1,12403,1,12403
북항,2024,03,1,외항,입항,풀 컨테이너선,감만부두,컨테이너부두,"50,000-60,000톤미만",아국선,13,1,52320,0,0,1,52320
감천,2024,03,1,외항,입항,어선,기타,일반부두,"3,000-5,000톤미만",외국선,5,0,0,1,3114,1,3114
북항,2024,05,2,외항,입항,LPG.LNG 운반선,남외항 박지,일반부두,"500 - 1,000톤미만",아국선,3,1,999,0,0,1,999
신항,2024,03,1,외항,입항,풀 컨테이너선,신항6부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,3,271965,3,271965
북항,2024,03,1,내항,입항,석유정제품 운반선,5 부두 (양곡부두),일반부두,100 -  500톤미만,아국선,2,1,314,0,0,1,314
감천,2024,05,2,외항,입항,일반화물선,제일제당부두,일반부두,"1,000 - 3,000미만",아국선,4,1,1128,0,0,1,1128
북항,2024,03,1,외항,입항,LPG.LNG 운반선,남외항 박지,일반부두,"100,000톤 이상",외국선,16,0,0,1,102200,1,102200
신항,2024,03,1,내항,입항,석유정제품 운반선,신항7부두,컨테이너부두,100 -  500톤미만,아국선,2,1,299,0,0,1,299
감천,2024,03,1,외항,입항,LPG.LNG 운반선,부광조선안벽,일반부두,"3,000-5,000톤미만",외국선,5,0,0,1,3428,1,3428
북항,2024,03,1,외항,입항,여객선,신국제여객터미널,일반부두,"100,000톤 이상",외국선,16,0,0,2,231812,2,231812
감천,2024,05,2,외항,입항,케미칼 운반선,모든부두,일반부두,"5,000-7,000톤미만",외국선,6,0,0,1,5488,1,5488
북항,2024,03,1,내항,입항,기타선,기타,일반부두,"500 - 1,000톤미만",아국선,3,1,550,0,0,1,550
북항,2024,03,1,외항,입항,일반화물선,남외항 박지,일반부두,"3,000-5,000톤미만",아국선,5,1,4594,0,0,1,4594
북항,2024,11,4,외항,입항,풀 컨테이너선,감만부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,16,288626,16,288626
신항,2024,11,4,외항,입항,풀 컨테이너선,신항1부두,컨테이너부두,"100,000톤 이상",외국선,16,0,0,25,3471342,25,3471342
감천,2024,11,4,내항,입항,기타선,기타,일반부두,100 -  500톤미만,아국선,2,40,57368,0,0,40,57368
감천,2024,11,4,외항,입항,냉동.냉장선,기타,일반부두,100 -  500톤미만,아국선,2,12,5580,0,0,12,5580
북항,2024,11,4,외항,입항,석유정제품 운반선,O 박지,일반부두,"1,000 - 3,000미만",아국선,4,1,1268,0,0,1,1268
북항,2024,10,4,내항,입항,기타선,기타,일반부두,100 -  500톤미만,아국선,2,103,34223,0,0,103,34223
북항,2024,11,4,내항,입항,석유정제품 운반선,기타,일반부두,100 -  500톤미만,아국선,2,70,15614,0,0,70,15614
북항,2024,10,4,내항,입항,기타선,물량장,일반부두,100톤미만,아국선,1,29,13453,0,0,29,13453
감천,2024,11,4,외항,입항,어선,동양해운부두,일반부두,"3,000-5,000톤미만",외국선,5,0,0,2,8814,2,8814
북항,2024,11,4,외항,입항,산물선,M 박지,일반부두,"20,000-25,000톤미만",외국선,10,0,0,2,44906,2,44906
북항,2024,11,4,외항,입항,풀 컨테이너선,신감만부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,10,180337,10,180337
신항,2024,11,4,내항,입항,기타선,신항2부두,컨테이너부두,"1,000 - 3,000미만",아국선,4,1,1108,0,0,1,1108
북항,2024,10,4,외항,입항,쎄미 컨테이너선,남외항 박지,일반부두,"5,000-7,000톤미만",외국선,6,0,0,3,17050,3,17050
북항,2024,10,4,내항,입항,석유정제품 운반선,물량장,일반부두,"1,000 - 3,000미만",아국선,4,37,49540,0,0,37,49540
북항,2024,10,4,외항,입항,풀 컨테이너선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,11,98265,11,98265
북항,2024,10,4,내항,입항,석유정제품 운반선,기타,일반부두,"1,000 - 3,000미만",아국선,4,15,26980,0,0,15,26980
북항,2024,10,4,내항,입항,석유정제품 운반선,M 박지,일반부두,"5,000-7,000톤미만",아국선,6,6,34439,0,0,6,34439
북항,2024,10,4,외항,입항,풀 컨테이너선,자성대 부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,2,80894,2,80894
북항,2024,10,4,외항,입항,일반화물선,남외항 박지,일반부두,"20,000-25,000톤미만",외국선,10,0,0,4,91194,4,91194
북항,2024,10,4,외항,입항,풀 컨테이너선,자성대 부두,컨테이너부두,"7,000-10,000톤미만",아국선,7,21,174987,0,0,21,174987
북항,2024,09,3,외항,입항,산물선,남외항 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,2,3880,2,3880
신항,2024,11,4,외항,입항,풀 컨테이너선,신항4부두,컨테이너부두,"75,000-100,000톤미만",아국선,15,2,150616,0,0,2,150616
북항,2024,11,4,내항,입항,기타선,동명 부두,일반부두,100 -  500톤미만,아국선,2,4,19984,0,0,4,19984
감천,2024,11,4,외항,입항,일반화물선,감천중앙부두,일반부두,"30,000-50,000톤미만",외국선,12,0,0,2,72016,2,72016
북항,2024,11,4,외항,입항,풀 컨테이너선,감만부두,컨테이너부두,"10,000-15,000톤미만",외국선,8,0,0,5,68212,5,68212
감천,2024,11,4,외항,입항,일반화물선,감천중앙부두,일반부두,"3,000-5,000톤미만",외국선,5,0,0,4,17123,4,17123
북항,2024,11,4,외항,입항,일반화물선,남외항 박지,일반부두,"3,000-5,000톤미만",아국선,5,3,13686,0,0,3,13686
북항,2024,11,4,내항,입항,기타선,기타,일반부두,"5,000-7,000톤미만",아국선,6,1,5255,0,0,1,5255
북항,2024,12,4,외항,입항,풀 컨테이너선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,6,57057,6,57057
북항,2024,12,4,외항,입항,일반화물선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,12,108266,12,108266
북항,2024,11,4,외항,입항,풀 컨테이너선,감만부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,5,140372,5,140372
북항,2024,11,4,내항,입항,기타선,우암 부두,컨테이너부두,100톤미만,아국선,1,4,2681,0,0,4,2681
감천,2024,11,4,외항,입항,석유정제품 운반선,모든부두,일반부두,"7,000-10,000톤미만",아국선,7,1,8261,0,0,1,8261
감천,2024,11,4,외항,입항,어선,동성실업부두,일반부두,100 -  500톤미만,아국선,2,5,1937,0,0,5,1937
감천,2024,11,4,내항,입항,기타선,동부고속부두,일반부두,100 -  500톤미만,아국선,2,1,415,0,0,1,415
북항,2024,11,4,내항,입항,케미칼 운반선,O 박지,일반부두,"1,000 - 3,000미만",아국선,4,1,1565,0,0,1,1565
북항,2024,10,4,외항,입항,산물선,남외항 박지,일반부두,"25,000-30,000톤미만",외국선,11,0,0,10,271378,10,271378
북항,2024,10,4,내항,입항,석유정제품 운반선,E 박지,일반부두,"3,000-5,000톤미만",아국선,5,2,6972,0,0,2,6972
감천,2024,10,4,내항,입항,기타선,기타,일반부두,100톤미만,아국선,1,38,22174,0,0,38,22174
신항,2024,11,4,외항,입항,풀 컨테이너선,신항7부두,컨테이너부두,"10,000-15,000톤미만",외국선,8,0,0,2,23784,2,23784
신항,2024,10,4,내항,입항,석유정제품 운반선,신항7부두,컨테이너부두,100 -  500톤미만,아국선,2,3,1225,0,0,3,1225
북항,2024,10,4,외항,입항,여객선,신국제여객터미널,일반부두,"7,000-10,000톤미만",외국선,7,0,0,16,258992,16,258992
감천,2024,10,4,내항,입항,시멘트 운반선,기타,일반부두,"5,000-7,000톤미만",아국선,6,3,18618,0,0,3,18618
북항,2024,10,4,내항,입항,기타선,물량장,일반부두,"500 - 1,000톤미만",아국선,3,19,13604,0,0,19,13604
신항,2024,11,4,외항,입항,풀 컨테이너선,신항3부두,컨테이너부두,"30,000-50,000톤미만",아국선,12,2,83008,0,0,2,83008
북항,2024,11,4,외항,입항,일반화물선,8 부두,일반부두,"3,000-5,000톤미만",아국선,5,2,8864,0,0,2,8864
북항,2024,11,4,외항,입항,산물선,남외항 박지,일반부두,"25,000-30,000톤미만",외국선,11,0,0,9,243682,9,243682
신항,2024,11,4,외항,입항,풀 컨테이너선,신항 U 정박지,일반부두,"15,000-20,000톤미만",외국선,9,0,0,3,49165,3,49165
신항,2024,11,4,외항,입항,풀 컨테이너선,신항5부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,9,165947,9,165947
북항,2024,12,4,외항,입항,풀 컨테이너선,신선대 부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,14,386036,14,386036
북항,2024,12,4,외항,입항,풀 컨테이너선,신선대 부두,컨테이너부두,"7,000-10,000톤미만",아국선,7,50,462929,0,0,50,462929
신항,2024,12,4,외항,입항,풀 컨테이너선,신항5부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,6,436567,6,436567
북항,2024,10,4,외항,입항,풀 컨테이너선,감만부두,컨테이너부두,"3,000-5,000톤미만",외국선,5,0,0,3,11982,3,11982
감천,2024,10,4,내항,입항,기타선,기타,일반부두,"500 - 1,000톤미만",아국선,3,9,7756,0,0,9,7756
북항,2024,10,4,내항,입항,석유정제품 운반선,물량장,일반부두,100톤미만,아국선,1,30,2287,0,0,30,2287
신항,2024,11,4,외항,입항,풀 컨테이너선,신항7부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,1,20569,1,20569
신항,2024,12,4,내항,입항,석유정제품 운반선,신항 U 정박지,일반부두,"1,000 - 3,000미만",아국선,4,8,11125,0,0,8,11125
북항,2024,12,4,외항,입항,풀 컨테이너선,남외항 박지,일반부두,"15,000-20,000톤미만",외국선,9,0,0,3,54069,3,54069
감천,2024,10,4,내항,입항,기타선,동성실업부두,일반부두,100톤미만,아국선,1,11,2822,0,0,11,2822
북항,2024,10,4,외항,입항,풀 컨테이너선,남외항 박지,일반부두,"5,000-7,000톤미만",외국선,6,0,0,4,26093,4,26093
북항,2024,10,4,내항,입항,케미칼 운반선,O 박지,일반부두,"1,000 - 3,000미만",아국선,4,4,6971,0,0,4,6971
감천,2024,10,4,외항,입항,어선,기타,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,8318,1,8318
북항,2024,11,4,외항,입항,케미칼 운반선,남외항 박지,일반부두,"5,000-7,000톤미만",외국선,6,0,0,1,5488,1,5488
북항,2024,11,4,외항,입항,풀 컨테이너선,신선대 부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,12,218061,12,218061
북항,2024,11,4,외항,입항,기타선,E 박지,일반부두,"500 - 1,000톤미만",외국선,3,0,0,1,855,1,855
북항,2024,11,4,외항,입항,어선,남외항 박지,일반부두,100톤미만,외국선,1,0,0,1,98,1,98
신항,2024,12,4,외항,입항,풀 컨테이너선,신항7부두,컨테이너부두,"10,000-15,000톤미만",외국선,8,0,0,2,23784,2,23784
북항,2024,09,3,내항,입항,석유정제품 운반선,물량장,일반부두,100톤미만,아국선,1,18,1395,0,0,18,1395
