선박청코드항명,연도,월,분기,외내항구분,수출입구분,선종명,시설명,부두구분명,톤코드명,국가,톤코드,국내선박수,국내선박톤수,외국선박수,외국선박톤수,전체선박수,전체선박톤수
북항,2024,08,3,외항,출항,냉동.냉장선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,9307,1,9307
북항,2024,06,2,외항,출항,LPG.LNG 운반선,남외항 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2999,1,2999
감천,2024,07,3,내항,출항,시멘트 운반선,동양해운부두,일반부두,"7,000-10,000톤미만",아국선,7,2,14258,0,0,2,14258
감천,2024,07,3,외항,출항,LPG.LNG 운반선,감천항조선소,일반부두,"3,000-5,000톤미만",아국선,5,1,3138,0,0,1,3138
북항,2024,07,3,내항,출항,LPG.LNG 운반선,남외항 박지,일반부두,"1,000 - 3,000미만",아국선,4,1,1002,0,0,1,1002
북항,2024,07,3,내항,출항,석유정제품 운반선,안벽,일반부두,"7,000-10,000톤미만",아국선,7,1,7333,0,0,1,7333
감천,2024,07,3,외항,출항,기타선,기타,일반부두,100 -  500톤미만,외국선,2,0,0,1,495,1,495
감천,2024,07,3,외항,출항,케미칼 운반선,감천항조선소,일반부두,"1,000 - 3,000미만",아국선,4,1,2403,0,0,1,2403
북항,2024,08,3,외항,출항,풀 컨테이너선,신선대 부두,컨테이너부두,"3,000-5,000톤미만",외국선,5,0,0,1,3994,1,3994
감천,2024,06,2,내항,출항,어선,동성실업부두,일반부두,100 -  500톤미만,아국선,2,1,384,0,0,1,384
신항,2024,07,3,외항,출항,일반화물선,신항다목적부두,컨테이너부두,"1,000 - 3,000미만",아국선,4,1,1501,0,0,1,1501
북항,2024,07,3,내항,출항,기타선,M 박지,일반부두,100톤미만,아국선,1,1,40,0,0,1,40
감천,2024,07,3,외항,출항,케미칼 운반선,기타,일반부두,"1,000 - 3,000미만",아국선,4,1,1826,0,0,1,1826
감천,2024,07,3,외항,출항,냉동.냉장선,도양물류부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2781,1,2781
북항,2024,08,3,외항,출항,석유정제품 운반선,8 부두,일반부두,"5,000-7,000톤미만",외국선,6,0,0,1,5758,1,5758
감천,2024,03,1,내항,출항,산물선,동양해운부두,일반부두,"5,000-7,000톤미만",아국선,6,1,5459,0,0,1,5459
감천,2024,03,1,외항,출항,일반화물선,한보부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,2,5322,2,5322
감천,2024,04,2,외항,출항,냉동.냉장선,동양해운부두,일반부두,"10,000-15,000톤미만",외국선,8,0,0,5,62777,5,62777
신항,2024,04,2,외항,출항,일반화물선,신항다목적부두,컨테이너부두,"1,000 - 3,000미만",외국선,4,0,0,2,5012,2,5012
북항,2024,04,2,외항,출항,기타선,남외항 박지,일반부두,"10,000-15,000톤미만",외국선,8,0,0,1,11629,1,11629
신항,2024,04,2,외항,출항,풀 컨테이너선,신항1부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,8,318492,8,318492
북항,2024,04,2,외항,출항,풀 컨테이너선,자성대 부두,컨테이너부두,"7,000-10,000톤미만",외국선,7,0,0,44,397808,44,397808
북항,2024,04,2,외항,출항,풀 컨테이너선,신선대 부두,컨테이너부두,"7,000-10,000톤미만",외국선,7,0,0,78,732073,78,732073
신항,2024,04,2,외항,출항,쎄미 컨테이너선,신항다목적부두,컨테이너부두,"7,000-10,000톤미만",아국선,7,8,109450,0,0,8,109450
북항,2024,04,2,내항,출항,원유 운반선,물량장,일반부두,"500 - 1,000톤미만",아국선,3,11,6039,0,0,11,6039
신항,2024,04,2,외항,출항,풀 컨테이너선,신항6부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,17,707107,17,707107
북항,2024,04,2,외항,출항,일반화물선,남외항 박지,일반부두,"5,000-7,000톤미만",외국선,6,0,0,10,56143,10,56143
신항,2024,04,2,외항,출항,풀 컨테이너선,신항6부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,6,564479,6,564479
북항,2024,04,2,내항,출항,일반화물선,남외항 박지,일반부두,"1,000 - 3,000미만",아국선,4,15,26646,0,0,15,26646
신항,2024,04,2,외항,출항,풀 컨테이너선,신항6부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,6,167844,6,167844
신항,2024,04,2,내항,출항,석유정제품 운반선,신항4부두,컨테이너부두,"1,000 - 3,000미만",아국선,4,8,12895,0,0,8,12895
감천,2024,04,2,내항,출항,산물선,감천항조선소,일반부두,"1,000 - 3,000미만",아국선,4,3,6500,0,0,3,6500
신항,2024,03,1,내항,출항,석유정제품 운반선,신항다목적부두,컨테이너부두,100 -  500톤미만,아국선,2,4,1597,0,0,4,1597
북항,2024,03,1,외항,출항,케미칼 운반선,O 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1688,1,1688
북항,2024,02,1,외항,출항,풀 컨테이너선,신선대 부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,2,63884,2,63884
신항,2024,04,2,외항,출항,풀 컨테이너선,신항2부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,26,2401769,26,2401769
감천,2024,04,2,외항,출항,어선,한보부두,일반부두,"500 - 1,000톤미만",외국선,3,0,0,5,3793,5,3793
감천,2024,04,2,외항,출항,석유정제품 운반선,감천항조선소,일반부두,"1,000 - 3,000미만",아국선,4,1,2059,0,0,1,2059
감천,2024,04,2,내항,출항,시멘트 운반선,기타,일반부두,"5,000-7,000톤미만",아국선,6,9,55337,0,0,9,55337
감천,2024,04,2,외항,출항,석유정제품 운반선,모든부두,일반부두,"5,000-7,000톤미만",외국선,6,0,0,2,10579,2,10579
신항,2024,04,2,외항,출항,풀 컨테이너선,신항7부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,8,143362,8,143362
북항,2024,04,2,외항,출항,풀 컨테이너선,자성대 부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,3,62578,3,62578
북항,2024,04,2,외항,출항,석유정제품 운반선,안벽,일반부두,"1,000 - 3,000미만",아국선,4,1,1268,0,0,1,1268
북항,2024,04,2,외항,출항,석유정제품 운반선,남외항 박지,일반부두,"500 - 1,000톤미만",아국선,3,1,610,0,0,1,610
북항,2024,04,2,외항,출항,케미칼 운반선,남외항 박지,일반부두,"10,000-15,000톤미만",아국선,8,1,11259,0,0,1,11259
감천,2024,04,2,내항,출항,산물선,기타,일반부두,"7,000-10,000톤미만",아국선,7,1,7332,0,0,1,7332
북항,2024,04,2,내항,출항,산물선,기타,일반부두,"1,000 - 3,000미만",아국선,4,4,8523,0,0,4,8523
신항,2024,04,2,외항,출항,일반화물선,신항 U 정박지,일반부두,"500 - 1,000톤미만",아국선,3,1,796,0,0,1,796
북항,2024,04,2,외항,출항,석유정제품 운반선,남외항 박지,일반부두,"20,000-25,000톤미만",외국선,10,0,0,1,20517,1,20517
북항,2024,03,1,외항,출항,일반화물선,7 부두,일반부두,"3,000-5,000톤미만",외국선,5,0,0,1,4978,1,4978
북항,2024,04,2,외항,출항,일반화물선,안벽,일반부두,100 -  500톤미만,외국선,2,0,0,1,241,1,241
북항,2024,04,2,외항,출항,일반화물선,연합 부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,3,8991,3,8991
북항,2024,04,2,외항,출항,풀 컨테이너선,신선대 부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,4,126507,4,126507
북항,2024,04,2,외항,출항,일반화물선,7 부두,일반부두,"3,000-5,000톤미만",아국선,5,4,17384,0,0,4,17384
북항,2024,04,2,외항,출항,LPG.LNG 운반선,기타,일반부두,"5,000-7,000톤미만",외국선,6,0,0,1,5665,1,5665
신항,2024,11,4,외항,출항,풀 컨테이너선,신항2부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,12,324070,12,324070
북항,2024,10,4,외항,출항,LPG.LNG 운반선,남외항 박지,일반부두,"30,000-50,000톤미만",외국선,12,0,0,3,144128,3,144128
신항,2024,10,4,외항,출항,자동차 운반선,신항다목적부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,1,84074,1,84074
신항,2024,11,4,외항,출항,풀 컨테이너선,신항5부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,2,147854,2,147854
신항,2024,11,4,외항,출항,풀 컨테이너선,신항3부두,컨테이너부두,"60,000-75,000톤미만",아국선,14,4,299792,0,0,4,299792
북항,2024,11,4,내항,출항,기타선,기타,일반부두,"5,000-7,000톤미만",아국선,6,1,5255,0,0,1,5255
북항,2024,12,4,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,25,449923,25,449923
신항,2024,12,4,외항,출항,풀 컨테이너선,신항2부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,12,462869,12,462869
신항,2024,12,4,외항,출항,풀 컨테이너선,신항6부두,컨테이너부두,"100,000톤 이상",외국선,16,0,0,5,662995,5,662995
북항,2024,10,4,내항,출항,석유정제품 운반선,기타,일반부두,"3,000-5,000톤미만",외국선,5,0,0,7,34804,7,34804
감천,2024,10,4,외항,출항,석유정제품 운반선,동양해운부두,일반부두,"7,000-10,000톤미만",아국선,7,1,7217,0,0,1,7217
감천,2024,10,4,외항,출항,자동차 운반선,제일제당부두,일반부두,"5,000-7,000톤미만",외국선,6,0,0,4,26220,4,26220
북항,2024,10,4,내항,출항,기타선,안벽,일반부두,100 -  500톤미만,아국선,2,10,5595,0,0,10,5595
신항,2024,10,4,외항,출항,풀 컨테이너선,신항1부두,컨테이너부두,"100,000톤 이상",아국선,16,1,114023,0,0,1,114023
신항,2024,10,4,외항,출항,풀 컨테이너선,신항 U 정박지,일반부두,"5,000-7,000톤미만",아국선,6,1,6490,0,0,1,6490
감천,2024,10,4,외항,출항,어선,동양해운부두,일반부두,"7,000-10,000톤미만",외국선,7,0,0,2,15379,2,15379
신항,2024,10,4,외항,출항,일반화물선,신항다목적부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,1,15549,1,15549
신항,2024,11,4,내항,출항,기타선,신항4부두,컨테이너부두,100톤미만,아국선,1,4,614,0,0,4,614
감천,2024,11,4,내항,출항,시멘트 운반선,기타,일반부두,"3,000-5,000톤미만",아국선,5,4,17742,0,0,4,17742
신항,2024,12,4,외항,출항,풀 컨테이너선,신항4부두,컨테이너부두,"100,000톤 이상",외국선,16,0,0,23,3048990,23,3048990
신항,2024,12,4,외항,출항,풀 컨테이너선,신항3부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,6,242968,6,242968
북항,2024,12,4,외항,출항,풀 컨테이너선,자성대 부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,5,84796,5,84796
북항,2024,12,4,외항,출항,일반화물선,남외항 박지,일반부두,"20,000-25,000톤미만",외국선,10,0,0,1,23930,1,23930
북항,2024,12,4,외항,출항,풀 컨테이너선,신감만부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,2,54700,2,54700
신항,2024,12,4,외항,출항,풀 컨테이너선,신항4부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,7,129713,7,129713
감천,2024,09,3,외항,출항,냉동.냉장선,동부고속부두,일반부두,"500 - 1,000톤미만",외국선,3,0,0,1,823,1,823
북항,2024,10,4,외항,출항,일반화물선,감만부두,컨테이너부두,"1,000 - 3,000미만",외국선,4,0,0,2,4037,2,4037
감천,2024,10,4,외항,출항,어선,한진부두,일반부두,"500 - 1,000톤미만",외국선,3,0,0,1,683,1,683
신항,2024,10,4,외항,출항,풀 컨테이너선,신항7부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,2,184465,2,184465
북항,2024,11,4,내항,출항,LPG.LNG 운반선,남외항 박지,일반부두,"1,000 - 3,000미만",아국선,4,2,3679,0,0,2,3679
신항,2024,11,4,외항,출항,풀 컨테이너선,신항2부두,컨테이너부두,"5,000-7,000톤미만",외국선,6,0,0,7,37821,7,37821
북항,2024,11,4,외항,출항,어선,남외항 박지,일반부두,"3,000-5,000톤미만",외국선,5,0,0,5,17902,5,17902
북항,2024,11,4,외항,출항,일반화물선,7 부두,일반부두,"3,000-5,000톤미만",아국선,5,4,17384,0,0,4,17384
신항,2024,12,4,외항,출항,풀 컨테이너선,신항7부두,컨테이너부두,"50,000-60,000톤미만",외국선,13,0,0,2,104934,2,104934
북항,2024,12,4,외항,출항,풀 컨테이너선,신선대 부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,2,65090,2,65090
북항,2024,12,4,내항,출항,기타선,1 부두,일반부두,"1,000 - 3,000미만",아국선,4,1,2696,0,0,1,2696
북항,2024,10,4,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"25,000-30,000톤미만",아국선,11,2,54122,0,0,2,54122
신항,2024,10,4,외항,출항,풀 컨테이너선,신항3부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,8,318320,8,318320
북항,2024,10,4,외항,출항,산물선,M 박지,일반부두,"30,000-50,000톤미만",외국선,12,0,0,1,38564,1,38564
감천,2024,10,4,외항,출항,산물선,동성실업부두,일반부두,"3,000-5,000톤미만",아국선,5,1,4643,0,0,1,4643
북항,2024,11,4,내항,출항,기타선,동명 부두,일반부두,100 -  500톤미만,아국선,2,4,19984,0,0,4,19984
북항,2024,11,4,내항,출항,원유 운반선,물량장,일반부두,"500 - 1,000톤미만",아국선,3,7,3843,0,0,7,3843
북항,2024,11,4,외항,출항,풀 컨테이너선,신감만부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,6,165806,6,165806
북항,2024,11,4,외항,출항,풀 컨테이너선,신선대 부두,컨테이너부두,"3,000-5,000톤미만",아국선,5,7,28508,0,0,7,28508
신항,2024,12,4,외항,출항,풀 컨테이너선,신항4부두,컨테이너부두,"100,000톤 이상",아국선,16,2,285240,0,0,2,285240
감천,2024,12,4,외항,출항,산물선,한진해운부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,2,46561,2,46561
북항,2024,12,4,외항,출항,풀 컨테이너선,남외항 박지,일반부두,"3,000-5,000톤미만",외국선,5,0,0,1,4742,1,4742
북항,2024,12,4,외항,출항,석유정제품 운반선,남외항 박지,일반부두,"25,000-30,000톤미만",외국선,11,0,0,1,29307,1,29307
북항,2024,10,4,내항,출항,원유 운반선,신선대 부두,컨테이너부두,"500 - 1,000톤미만",아국선,3,1,549,0,0,1,549
북항,2024,10,4,외항,출항,일반화물선,8 부두,일반부두,"500 - 1,000톤미만",아국선,3,1,796,0,0,1,796
북항,2024,10,4,내항,출항,기타선,안벽,일반부두,"5,000-7,000톤미만",아국선,6,2,13724,0,0,2,13724
신항,2024,11,4,외항,출항,풀 컨테이너선,신항1부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,2,33606,2,33606
감천,2024,12,4,외항,출항,일반화물선,감천중앙부두,일반부두,"5,000-7,000톤미만",외국선,6,0,0,1,6984,1,6984
북항,2024,09,3,외항,출항,LPG.LNG 운반선,남외항 박지,일반부두,"30,000-50,000톤미만",외국선,12,0,0,1,48714,1,48714
북항,2024,10,4,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,7,248966,7,248966
신항,2024,10,4,외항,출항,풀 컨테이너선,신항1부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,1,21979,1,21979
북항,2024,10,4,외항,출항,일반화물선,E 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,9943,1,9943
북항,2024,10,4,외항,출항,석유정제품 운반선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,2,19992,2,19992
북항,2024,11,4,내항,출항,석유정제품 운반선,감만부두,컨테이너부두,"3,000-5,000톤미만",아국선,5,1,3486,0,0,1,3486
감천,2024,11,4,내항,출항,케미칼 운반선,기타,일반부두,"1,000 - 3,000미만",아국선,4,1,1716,0,0,1,1716
북항,2024,10,4,외항,출항,어선,안벽,일반부두,"500 - 1,000톤미만",외국선,3,0,0,2,1572,2,1572
신항,2024,10,4,외항,출항,풀 컨테이너선,신항7부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,1,65792,1,65792
감천,2024,10,4,외항,출항,냉동.냉장선,도양물류부두,일반부두,"3,000-5,000톤미만",외국선,5,0,0,2,7569,2,7569
감천,2024,10,4,내항,출항,기타선,동양해운부두,일반부두,100 -  500톤미만,아국선,2,4,19322,0,0,4,19322
북항,2024,11,4,외항,출항,일반화물선,남외항 박지,일반부두,"15,000-20,000톤미만",아국선,9,1,16463,0,0,1,16463
감천,2024,01,1,외항,출항,어선,동성실업부두,일반부두,100 -  500톤미만,아국선,2,5,2020,0,0,5,2020
신항,2024,01,1,내항,출항,기타선,공사구역,일반부두,100 -  500톤미만,아국선,2,8,10976,0,0,8,10976
감천,2024,02,1,내항,출항,산물선,감천항조선소,일반부두,"1,000 - 3,000미만",아국선,4,1,2339,0,0,1,2339
신항,2024,01,1,외항,출항,풀 컨테이너선,신항3부두,컨테이너부두,"50,000-60,000톤미만",아국선,13,2,109038,0,0,2,109038
감천,2024,01,1,외항,출항,LPG.LNG 운반선,감천항조선소,일반부두,"1,000 - 3,000미만",아국선,4,1,2997,0,0,1,2997
감천,2024,01,1,외항,출항,산물선,한보부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2998,1,2998
북항,2024,01,1,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"15,000-20,000톤미만",아국선,9,2,36102,0,0,2,36102
북항,2024,01,1,외항,출항,일반화물선,남외항 박지,일반부두,"20,000-25,000톤미만",외국선,10,0,0,3,69321,3,69321
감천,2024,01,1,외항,출항,냉동.냉장선,동부고속부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2390,1,2390
북항,2024,02,1,외항,출항,케미칼 운반선,감만부두,컨테이너부두,"3,000-5,000톤미만",외국선,5,0,0,1,3380,1,3380
감천,2024,01,1,외항,출항,산물선,한진해운부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,5,173162,5,173162
북항,2024,01,1,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"3,000-5,000톤미만",외국선,5,0,0,2,7988,2,7988
신항,2024,02,1,외항,출항,풀 컨테이너선,신항2부두,컨테이너부두,"30,000-50,000톤미만",아국선,12,3,122419,0,0,3,122419
북항,2024,01,1,외항,출항,풀 컨테이너선,신감만부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,3,197357,3,197357
감천,2024,02,1,내항,출항,기타선,기타,일반부두,100 -  500톤미만,아국선,2,19,13614,0,0,19,13614
북항,2024,02,1,내항,출항,석유정제품 운반선,신감만부두,컨테이너부두,"1,000 - 3,000미만",아국선,4,2,2591,0,0,2,2591
북항,2024,02,1,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"50,000-60,000톤미만",외국선,13,0,0,1,53807,1,53807
신항,2024,01,1,외항,출항,풀 컨테이너선,신항3부두,컨테이너부두,"7,000-10,000톤미만",외국선,7,0,0,6,59629,6,59629
신항,2024,02,1,외항,출항,풀 컨테이너선,신항다목적부두,컨테이너부두,"7,000-10,000톤미만",아국선,7,2,17232,0,0,2,17232
신항,2024,02,1,외항,출항,풀 컨테이너선,신항3부두,컨테이너부두,"5,000-7,000톤미만",외국선,6,0,0,3,19422,3,19422
북항,2024,01,1,외항,출항,냉동.냉장선,안벽,일반부두,"3,000-5,000톤미만",외국선,5,0,0,1,4148,1,4148
북항,2024,01,1,외항,출항,산물선,7 부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1996,1,1996
신항,2024,01,1,외항,출항,풀 컨테이너선,신항6부두,컨테이너부두,"3,000-5,000톤미만",아국선,5,7,30864,0,0,7,30864
북항,2024,01,1,외항,출항,일반화물선,남외항 박지,일반부두,"500 - 1,000톤미만",아국선,3,1,796,0,0,1,796
북항,2024,01,1,외항,출항,풀 컨테이너선,남외항 박지,일반부두,"7,000-10,000톤미만",아국선,7,1,7683,0,0,1,7683
감천,2024,01,1,외항,출항,어선,한진해운부두,컨테이너부두,"1,000 - 3,000미만",외국선,4,0,0,2,3348,2,3348
북항,2024,01,1,외항,출항,풀 컨테이너선,자성대 부두,컨테이너부두,"20,000-25,000톤미만",아국선,10,1,20815,0,0,1,20815
신항,2024,01,1,외항,출항,풀 컨테이너선,신항1부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,1,74583,1,74583
북항,2024,01,1,외항,출항,일반화물선,M 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2509,1,2509
감천,2024,01,1,외항,출항,일반화물선,제일제당부두,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,8376,1,8376
신항,2024,01,1,내항,출항,석유정제품 운반선,신항 U 정박지,일반부두,"500 - 1,000톤미만",아국선,3,2,1780,0,0,2,1780
감천,2024,01,1,외항,출항,어선,감천동원부두,일반부두,100 -  500톤미만,아국선,2,1,385,0,0,1,385
북항,2024,01,1,외항,출항,일반화물선,M 박지,일반부두,"3,000-5,000톤미만",아국선,5,2,8713,0,0,2,8713
감천,2024,01,1,외항,출항,어선,한일물류부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,3,5159,3,5159
감천,2024,01,1,외항,출항,어선,동부고속부두,일반부두,100 -  500톤미만,아국선,2,1,417,0,0,1,417
신항,2024,01,1,외항,출항,풀 컨테이너선,신항3부두,컨테이너부두,"75,000-100,000톤미만",아국선,15,1,75488,0,0,1,75488
북항,2024,01,1,외항,출항,일반화물선,신감만부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,2,47456,2,47456
북항,2024,01,1,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"10,000-15,000톤미만",아국선,8,1,13151,0,0,1,13151
북항,2024,01,1,외항,출항,일반화물선,남외항 박지,일반부두,"50,000-60,000톤미만",외국선,13,0,0,1,51365,1,51365
감천,2024,01,1,외항,출항,산물선,한진해운부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,1,23269,1,23269
북항,2024,01,1,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"3,000-5,000톤미만",아국선,5,1,3736,0,0,1,3736
감천,2024,01,1,외항,출항,기타선,기타,일반부두,100 -  500톤미만,외국선,2,0,0,1,495,1,495
북항,2024,01,1,외항,출항,산물선,남외항 박지,일반부두,"3,000-5,000톤미만",아국선,5,1,4562,0,0,1,4562
북항,2024,01,1,내항,출항,산물선,남외항 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,2450,1,2450
북항,2024,01,1,외항,출항,산물선,M 박지,일반부두,"1,000 - 3,000미만",아국선,4,1,1125,0,0,1,1125
감천,2024,01,1,외항,출항,석유정제품 운반선,모든부두,일반부두,"1,000 - 3,000미만",외국선,4,0,0,1,1395,1,1395
북항,2024,01,1,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"30,000-50,000톤미만",아국선,12,1,40898,0,0,1,40898
북항,2024,01,1,외항,출항,기타선,안벽,일반부두,"20,000-25,000톤미만",외국선,10,0,0,1,23402,1,23402
북항,2024,01,1,내항,출항,기타선,M 박지,일반부두,100 -  500톤미만,아국선,2,1,149,0,0,1,149
북항,2024,05,2,내항,출항,석유정제품 운반선,물량장,일반부두,"500 - 1,000톤미만",아국선,3,164,127580,0,0,164,127580
신항,2024,05,2,외항,출항,풀 컨테이너선,신항4부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,7,635200,7,635200
북항,2024,08,3,내항,출항,기타선,기타,일반부두,100 -  500톤미만,아국선,2,126,57411,0,0,126,57411
감천,2024,08,3,외항,출항,어선,감천동원부두,일반부두,"500 - 1,000톤미만",외국선,3,0,0,1,656,1,656
북항,2024,08,3,외항,출항,일반화물선,남외항 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,11,27046,11,27046
북항,2024,08,3,내항,출항,기타선,기타,일반부두,100톤미만,아국선,1,213,39810,0,0,213,39810
신항,2024,08,3,외항,출항,풀 컨테이너선,신항1부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,6,424065,6,424065
감천,2024,08,3,외항,출항,일반화물선,감천항조선소,일반부두,"3,000-5,000톤미만",아국선,5,1,3018,0,0,1,3018
신항,2024,08,3,외항,출항,풀 컨테이너선,신항6부두,컨테이너부두,"75,000-100,000톤미만",외국선,15,0,0,6,551666,6,551666
신항,2024,08,3,외항,출항,풀 컨테이너선,신항4부두,컨테이너부두,"100,000톤 이상",외국선,16,0,0,21,2837340,21,2837340
북항,2024,09,3,내항,출항,석유정제품 운반선,남외항 박지,일반부두,"500 - 1,000톤미만",아국선,3,10,9077,0,0,10,9077
북항,2024,09,3,외항,출항,어선,남외항 박지,일반부두,"3,000-5,000톤미만",외국선,5,0,0,9,32952,9,32952
북항,2024,09,3,외항,출항,케미칼 운반선,남외항 박지,일반부두,"3,000-5,000톤미만",외국선,5,0,0,4,17430,4,17430
감천,2024,08,3,외항,출항,냉동.냉장선,동양해운부두,일반부두,"5,000-7,000톤미만",외국선,6,0,0,3,20042,3,20042
북항,2024,09,3,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"10,000-15,000톤미만",외국선,8,0,0,8,105556,8,105556
북항,2024,07,3,외항,출항,일반화물선,남외항 박지,일반부두,"1,000 - 3,000미만",외국선,4,0,0,17,35744,17,35744
신항,2024,09,3,외항,출항,풀 컨테이너선,신항2부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,9,160244,9,160244
감천,2024,09,3,외항,출항,어선,한보부두,일반부두,"500 - 1,000톤미만",외국선,3,0,0,3,2101,3,2101
북항,2024,09,3,외항,출항,어선,남외항 박지,일반부두,"7,000-10,000톤미만",외국선,7,0,0,1,7816,1,7816
북항,2024,10,4,외항,출항,풀 컨테이너선,자성대 부두,컨테이너부두,"7,000-10,000톤미만",외국선,7,0,0,26,233820,26,233820
북항,2024,09,3,내항,출항,LPG.LNG 운반선,남외항 박지,일반부두,"500 - 1,000톤미만",아국선,3,4,3782,0,0,4,3782
북항,2024,09,3,외항,출항,풀 컨테이너선,감만부두,컨테이너부두,"60,000-75,000톤미만",외국선,14,0,0,2,132192,2,132192
북항,2024,05,2,외항,출항,풀 컨테이너선,신선대 부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,3,96435,3,96435
신항,2024,05,2,외항,출항,풀 컨테이너선,신항2부두,컨테이너부두,"30,000-50,000톤미만",외국선,12,0,0,7,285440,7,285440
감천,2024,08,3,외항,출항,산물선,도양물류부두,일반부두,"20,000-25,000톤미만",외국선,10,0,0,1,24235,1,24235
감천,2024,08,3,외항,출항,산물선,한진해운부두,컨테이너부두,"7,000-10,000톤미만",외국선,7,0,0,1,7944,1,7944
신항,2024,08,3,외항,출항,풀 컨테이너선,신항4부두,컨테이너부두,"25,000-30,000톤미만",외국선,11,0,0,12,329099,12,329099
신항,2024,08,3,외항,출항,풀 컨테이너선,신항3부두,컨테이너부두,"15,000-20,000톤미만",외국선,9,0,0,5,84495,5,84495
북항,2024,09,3,내항,출항,기타선,안벽,일반부두,100 -  500톤미만,외국선,2,0,0,1,432,1,432
북항,2024,09,3,외항,출항,풀 컨테이너선,신선대 부두,컨테이너부두,"20,000-25,000톤미만",외국선,10,0,0,1,20920,1,20920
북항,2024,08,3,외항,출항,산물선,5 부두 (양곡부두),일반부두,"20,000-25,000톤미만",외국선,10,0,0,1,24441,1,24441
감천,2024,09,3,내항,출항,시멘트 운반선,동양해운부두,일반부두,"7,000-10,000톤미만",아국선,7,3,21369,0,0,3,21369
북항,2024,09,3,외항,출항,석유정제품 운반선,8 부두,일반부두,"500 - 1,000톤미만",아국선,3,1,610,0,0,1,610
